TimeStamp		 Channel 00	 Channel 01
00:00:00.3206193	 ,-0.0667  V	,-0.0230  V	
00:00:00.3208193	 ,0.5269  V	,0.5547  V	
00:00:00.3210196	 ,-0.0722  V	,-0.0398  V	
00:00:00.3212220	 ,0.6026  V	,0.6310  V	
00:00:00.3214880	 ,-0.0813  V	,-0.0920  V	
00:00:00.3217795	 ,0.1213  V	,0.1295  V	
00:00:00.3220131	 ,-0.0816  V	,-0.1396  V	
00:00:00.3222205	 ,-0.5061  V	,-0.5226  V	
00:00:00.3224430	 ,-0.0795  V	,-0.1396  V	
00:00:00.3226663	 ,-0.7723  V	,-0.8000  V	
00:00:00.3228765	 ,-0.0706  V	,-0.0911  V	
00:00:00.3230974	 ,-0.4762  V	,-0.4897  V	
00:00:00.3232903	 ,-0.0661  V	,-0.0322  V	
00:00:00.3235018	 ,0.1726  V	,0.1817  V	
00:00:00.3237128	 ,-0.0685  V	,-0.0160  V	
00:00:00.3239070	 ,0.6203  V	,0.6517  V	
00:00:00.3240556	 ,-0.0755  V	,-0.0502  V	
00:00:00.3242420	 ,0.4949  V	,0.5232  V	
00:00:00.3243914	 ,-0.0841  V	,-0.1100  V	
00:00:00.3245606	 ,-0.1155  V	,-0.1128  V	
00:00:00.3247170	 ,-0.0844  V	,-0.1421  V	
00:00:00.3248989	 ,-0.6621  V	,-0.6850  V	
00:00:00.3250557	 ,-0.0771  V	,-0.1238  V	
00:00:00.3252158	 ,-0.7213  V	,-0.7485  V	
00:00:00.3253657	 ,-0.0694  V	,-0.0725  V	
00:00:00.3255155	 ,-0.2568  V	,-0.2650  V	
00:00:00.3256645	 ,-0.0664  V	,-0.0285  V	
00:00:00.3258197	 ,0.3645  V	,0.3822  V	
00:00:00.3259466	 ,-0.0725  V	,-0.0307  V	
00:00:00.3260899	 ,0.6310  V	,0.6648  V	
00:00:00.3262216	 ,-0.0813  V	,-0.0710  V	
00:00:00.3263842	 ,0.3221  V	,0.3429  V	
00:00:00.3265501	 ,-0.0844  V	,-0.1262  V	
00:00:00.3266921	 ,-0.3178  V	,-0.3239  V	
00:00:00.3268280	 ,-0.0819  V	,-0.1415  V	
00:00:00.3269922	 ,-0.7842  V	,-0.8092  V	
00:00:00.3271499	 ,-0.0758  V	,-0.1073  V	
00:00:00.3272854	 ,-0.6639  V	,-0.6868  V	
00:00:00.3274484	 ,-0.0667  V	,-0.0496  V	
00:00:00.3275896	 ,-0.0429  V	,-0.0420  V	
00:00:00.3277538	 ,-0.0670  V	,-0.0233  V	
00:00:00.3278675	 ,0.5126  V	,0.5370  V	
00:00:00.3280309	 ,-0.0713  V	,-0.0374  V	
00:00:00.3281939	 ,0.5888  V	,0.6172  V	
00:00:00.3283397	 ,-0.0819  V	,-0.0929  V	
00:00:00.3284743	 ,0.1061  V	,0.1158  V	
00:00:00.3286513	 ,-0.0822  V	,-0.1366  V	
00:00:00.3287859	 ,-0.5098  V	,-0.5287  V	
00:00:00.3289493	 ,-0.0798  V	,-0.1418  V	
00:00:00.3290889	 ,-0.7811  V	,-0.8086  V	
00:00:00.3292211	 ,-0.0670  V	,-0.0887  V	
00:00:00.3293861	 ,-0.4652  V	,-0.4829  V	
00:00:00.3295491	 ,-0.0652  V	,-0.0356  V	
00:00:00.3297142	 ,0.1759  V	,0.1839  V	
00:00:00.3298759	 ,-0.0676  V	,-0.0160  V	
00:00:00.3300110	 ,0.6288  V	,0.6596  V	
00:00:00.3301666	 ,-0.0743  V	,-0.0505  V	
00:00:00.3303164	 ,0.4903  V	,0.5174  V	
00:00:00.3304532	 ,-0.0832  V	,-0.1088  V	
00:00:00.3306207	 ,-0.1350  V	,-0.1363  V	
00:00:00.3307566	 ,-0.0835  V	,-0.1357  V	
00:00:00.3309286	 ,-0.6755  V	,-0.6972  V	
00:00:00.3310271	 ,-0.0774  V	,-0.1247  V	
00:00:00.3311145	 ,-0.7424  V	,-0.7677  V	
00:00:00.4006128	 ,-0.0697  V	,-0.0706  V	
00:00:00.4008173	 ,-0.2641  V	,-0.2699  V	
00:00:00.4010152	 ,-0.0658  V	,-0.0276  V	
00:00:00.4012163	 ,0.3697  V	,0.3865  V	
00:00:00.4014520	 ,-0.0710  V	,-0.0307  V	
00:00:00.4017110	 ,0.6313  V	,0.6636  V	
00:00:00.4019964	 ,-0.0819  V	,-0.0746  V	
00:00:00.4022788	 ,0.3133  V	,0.3346  V	
00:00:00.4025440	 ,-0.0841  V	,-0.1219  V	
00:00:00.4028043	 ,-0.3352  V	,-0.3389  V	
00:00:00.4030396	 ,-0.0816  V	,-0.1360  V	
00:00:00.4033101	 ,-0.7723  V	,-0.7988  V	
00:00:00.4035404	 ,-0.0758  V	,-0.1128  V	
00:00:00.4037617	 ,-0.6377  V	,-0.6624  V	
00:00:00.4039871	 ,-0.0682  V	,-0.0505  V	
00:00:00.4042478	 ,-0.0175  V	,-0.0172  V	
00:00:00.4045052	 ,-0.0670  V	,-0.0233  V	
00:00:00.4047364	 ,0.5327  V	,0.5605  V	
00:00:00.4049502	 ,-0.0725  V	,-0.0334  V	
00:00:00.4051432	 ,0.6227  V	,0.6514  V	
00:00:00.4053197	 ,-0.0807  V	,-0.0948  V	
00:00:00.4054872	 ,0.1323  V	,0.1439  V	
00:00:00.4056461	 ,-0.0832  V	,-0.1372  V	
00:00:00.4058108	 ,-0.5031  V	,-0.5180  V	
00:00:00.4059980	 ,-0.0801  V	,-0.1353  V	
00:00:00.4061556	 ,-0.7622  V	,-0.7924  V	
00:00:00.4063404	 ,-0.0682  V	,-0.0908  V	
00:00:00.4065083	 ,-0.4616  V	,-0.4768  V	
00:00:00.4066688	 ,-0.0661  V	,-0.0352  V	
00:00:00.4068379	 ,0.1930  V	,0.2010  V	
00:00:00.4070116	 ,-0.0685  V	,-0.0224  V	
00:00:00.4071676	 ,0.6535  V	,0.6835  V	
00:00:00.4073343	 ,-0.0740  V	,-0.0536  V	
00:00:00.4075071	 ,0.5126  V	,0.5403  V	
00:00:00.4076664	 ,-0.0832  V	,-0.1137  V	
00:00:00.4078315	 ,-0.1091  V	,-0.1091  V	
00:00:00.4079559	 ,-0.0832  V	,-0.1442  V	
00:00:00.4081004	 ,-0.6557  V	,-0.6801  V	
00:00:00.4082506	 ,-0.0774  V	,-0.1244  V	
00:00:00.4083504	 ,-0.7253  V	,-0.7512  V	
00:00:00.4084953	 ,-0.0688  V	,-0.0682  V	
00:00:00.4086333	 ,-0.2583  V	,-0.2650  V	
00:00:00.4087712	 ,-0.0670  V	,-0.0243  V	
00:00:00.4089092	 ,0.3636  V	,0.3819  V	
00:00:00.4090487	 ,-0.0691  V	,-0.0209  V	
00:00:00.4091522	 ,0.6441  V	,0.6767  V	
00:00:00.4092454	 ,-0.0822  V	,-0.0722  V	
00:00:00.4093369	 ,0.3307  V	,0.3490  V	
00:00:00.4094260	 ,-0.0832  V	,-0.1222  V	
00:00:00.4095258	 ,-0.2971  V	,-0.3069  V	
00:00:00.4096190	 ,-0.0829  V	,-0.1430  V	
00:00:00.4097110	 ,-0.7607  V	,-0.7872  V	
00:00:00.4098317	 ,-0.0758  V	,-0.1091  V	
00:00:00.4099265	 ,-0.6508  V	,-0.6734  V	
00:00:00.4100230	 ,-0.0710  V	,-0.0484  V	
00:00:00.4101449	 ,-0.0517  V	,-0.0484  V	
00:00:00.4102369	 ,-0.0652  V	,-0.0179  V	
00:00:00.4103580	 ,0.5232  V	,0.5486  V	
00:00:00.4104824	 ,-0.0728  V	,-0.0404  V	
00:00:00.4105784	 ,0.5852  V	,0.6169  V	
00:00:00.4107024	 ,-0.0816  V	,-0.0890  V	
00:00:00.4107940	 ,0.1192  V	,0.1289  V	
00:00:00.4109221	 ,-0.0838  V	,-0.1335  V	
00:00:00.4110198	 ,-0.5040  V	,-0.5229  V	
00:00:00.4806396	 ,-0.0786  V	,-0.1396  V	
00:00:00.4808391	 ,-0.7887  V	,-0.8153  V	
00:00:00.4810546	 ,-0.0685  V	,-0.0908  V	
00:00:00.4813071	 ,-0.4784  V	,-0.4955  V	
00:00:00.4815645	 ,-0.0664  V	,-0.0362  V	
00:00:00.4817764	 ,0.1717  V	,0.1793  V	
00:00:00.4820330	 ,-0.0685  V	,-0.0218  V	
00:00:00.4822542	 ,0.6270  V	,0.6606  V	
00:00:00.4824542	 ,-0.0740  V	,-0.0514  V	
00:00:00.4827149	 ,0.5006  V	,0.5263  V	
00:00:00.4829349	 ,-0.0816  V	,-0.1106  V	
00:00:00.4831595	 ,-0.1225  V	,-0.1213  V	
00:00:00.4833791	 ,-0.0844  V	,-0.1332  V	
00:00:00.4836481	 ,-0.6682  V	,-0.6926  V	
00:00:00.4839166	 ,-0.0783  V	,-0.1256  V	
00:00:00.4841929	 ,-0.7411  V	,-0.7689  V	
00:00:00.4844581	 ,-0.0697  V	,-0.0725  V	
00:00:00.4847418	 ,-0.2760  V	,-0.2846  V	
00:00:00.4849905	 ,-0.0670  V	,-0.0285  V	
00:00:00.4851769	 ,0.3526  V	,0.3719  V	
00:00:00.4853473	 ,-0.0691  V	,-0.0212  V	
00:00:00.4855226	 ,0.6416  V	,0.6731  V	
00:00:00.4856757	 ,-0.0832  V	,-0.0716  V	
00:00:00.4858478	 ,0.3230  V	,0.3426  V	
00:00:00.4860333	 ,-0.0819  V	,-0.1207  V	
00:00:00.4861951	 ,-0.3215  V	,-0.3282  V	
00:00:00.4863601	 ,-0.0816  V	,-0.1451  V	
00:00:00.4865182	 ,-0.7765  V	,-0.8037  V	
00:00:00.4866964	 ,-0.0749  V	,-0.1112  V	
00:00:00.4868606	 ,-0.6511  V	,-0.6728  V	
00:00:00.4870503	 ,-0.0697  V	,-0.0523  V	
00:00:00.4872174	 ,-0.0465  V	,-0.0432  V	
00:00:00.4873418	 ,-0.0639  V	,-0.0212  V	
00:00:00.4874846	 ,0.5260  V	,0.5550  V	
00:00:00.4876320	 ,-0.0725  V	,-0.0356  V	
00:00:00.4877888	 ,0.5992  V	,0.6297  V	
00:00:00.4878907	 ,-0.0819  V	,-0.0929  V	
00:00:00.4879908	 ,0.1213  V	,0.1283  V	
00:00:00.4881493	 ,-0.0847  V	,-0.1408  V	
00:00:00.4882848	 ,-0.5006  V	,-0.5177  V	
00:00:00.4884474	 ,-0.0792  V	,-0.1421  V	
00:00:00.4885426	 ,-0.7848  V	,-0.8107  V	
00:00:00.4886444	 ,-0.0688  V	,-0.0893  V	
00:00:00.4887323	 ,-0.4674  V	,-0.4799  V	
00:00:00.4888542	 ,-0.0667  V	,-0.0356  V	
00:00:00.4889790	 ,0.1668  V	,0.1769  V	
00:00:00.4890759	 ,-0.0685  V	,-0.0175  V	
00:00:00.4891736	 ,0.6300  V	,0.6612  V	
00:00:00.4892689	 ,-0.0734  V	,-0.0514  V	
00:00:00.4893579	 ,0.5028  V	,0.5309  V	
00:00:00.4894795	 ,-0.0807  V	,-0.1076  V	
00:00:00.4896035	 ,-0.1042  V	,-0.1036  V	
00:00:00.4897295	 ,-0.0847  V	,-0.1393  V	
00:00:00.4898564	 ,-0.6715  V	,-0.6926  V	
00:00:00.4899803	 ,-0.0780  V	,-0.1259  V	
00:00:00.4900982	 ,-0.7399  V	,-0.7677  V	
00:00:00.4901741	 ,-0.0691  V	,-0.0697  V	
00:00:00.4902694	 ,-0.2559  V	,-0.2650  V	
00:00:00.4903580	 ,-0.0670  V	,-0.0325  V	
00:00:00.4904549	 ,0.3871  V	,0.4039  V	
00:00:00.4905518	 ,-0.0691  V	,-0.0307  V	
00:00:00.4906458	 ,0.6590  V	,0.6914  V	
00:00:00.4907349	 ,-0.0829  V	,-0.0780  V	
00:00:00.4908528	 ,0.3307  V	,0.3508  V	
00:00:00.5606257	 ,-0.0841  V	,-0.1222  V	
00:00:00.5608018	 ,-0.3062  V	,-0.3160  V	
00:00:00.5610091	 ,-0.0826  V	,-0.1442  V	
00:00:00.5612070	 ,-0.7674  V	,-0.7939  V	
00:00:00.5613819	 ,-0.0761  V	,-0.1115  V	
00:00:00.5615486	 ,-0.6383  V	,-0.6600  V	
00:00:00.5617448	 ,-0.0719  V	,-0.0563  V	
00:00:00.5618778	 ,-0.0423  V	,-0.0432  V	
00:00:00.5620100	 ,-0.0658  V	,-0.0212  V	
00:00:00.5621348	 ,0.5321  V	,0.5571  V	
00:00:00.5622662	 ,-0.0725  V	,-0.0377  V	
00:00:00.5623935	 ,0.5995  V	,0.6322  V	
00:00:00.5625277	 ,-0.0819  V	,-0.0893  V	
00:00:00.5626431	 ,0.1070  V	,0.1189  V	
00:00:00.5627934	 ,-0.0841  V	,-0.1326  V	
00:00:00.5629375	 ,-0.5126  V	,-0.5299  V	
00:00:00.5630627	 ,-0.0801  V	,-0.1387  V	
00:00:00.5632006	 ,-0.7808  V	,-0.8110  V	
00:00:00.5633234	 ,-0.0697  V	,-0.0905  V	
00:00:00.5634552	 ,-0.4710  V	,-0.4833  V	
00:00:00.5635553	 ,-0.0655  V	,-0.0352  V	
00:00:00.5636485	 ,0.1750  V	,0.1854  V	
00:00:00.5637401	 ,-0.0661  V	,-0.0188  V	
00:00:00.5638312	 ,0.6352  V	,0.6661  V	
00:00:00.5639265	 ,-0.0737  V	,-0.0490  V	
00:00:00.5640230	 ,0.5187  V	,0.5397  V	
00:00:00.5641445	 ,-0.0789  V	,-0.1100  V	
00:00:00.5642368	 ,-0.0874  V	,-0.0847  V	
00:00:00.5643272	 ,-0.0850  V	,-0.1442  V	
00:00:00.5644191	 ,-0.6740  V	,-0.6969  V	
00:00:00.5645197	 ,-0.0771  V	,-0.1262  V	
00:00:00.5646137	 ,-0.7378  V	,-0.7689  V	
00:00:00.5647053	 ,-0.0697  V	,-0.0755  V	
00:00:00.5648013	 ,-0.2788  V	,-0.2840  V	
00:00:00.5648974	 ,-0.0664  V	,-0.0267  V	
00:00:00.5649881	 ,0.3685  V	,0.3862  V	
00:00:00.5650793	 ,-0.0703  V	,-0.0252  V	
00:00:00.5651758	 ,0.6529  V	,0.6859  V	
00:00:00.5652727	 ,-0.0801  V	,-0.0713  V	
00:00:00.5653646	 ,0.3334  V	,0.3493  V	
00:00:00.5654845	 ,-0.0850  V	,-0.1259  V	
00:00:00.5656093	 ,-0.3090  V	,-0.3172  V	
00:00:00.5657033	 ,-0.0822  V	,-0.1469  V	
00:00:00.5657986	 ,-0.7662  V	,-0.7906  V	
00:00:00.5658946	 ,-0.0768  V	,-0.1146  V	
00:00:00.5659862	 ,-0.6423  V	,-0.6667  V	
00:00:00.5661032	 ,-0.0697  V	,-0.0597  V	
00:00:00.5662046	 ,-0.0472  V	,-0.0465  V	
00:00:00.5663023	 ,-0.0655  V	,-0.0249  V	
00:00:00.5663976	 ,0.5217  V	,0.5480  V	
00:00:00.5664916	 ,-0.0725  V	,-0.0334  V	
00:00:00.5666131	 ,0.5855  V	,0.6178  V	
