Time				DIO0		DIO1		DIO2		DIO3		DIO4		DIO5		DIO6		DIO7		DIO8		DIO9		DIO10		DIO11		DIO12		DIO13		DIO14		DIO15
00:00:14.4015298		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4016743		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4018730		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4021001		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4022339		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4023558		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4024774		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4025919		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4027438		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4028953		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4030402		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4032094		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4033374		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4034594		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4036080		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4037812		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4039327		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4040970		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4042423		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4044147		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4046155		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4047637		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4049304		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4050856		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4052309		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4053651		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4055072		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4056611		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4057428		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4058787		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4060093		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4061641		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4063332		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4064650		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4065594		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4066908		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4068332		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4069630		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4071058		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4072356		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4073657		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4074996		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4076790		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4078350		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4079902		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4081318		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4082849		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4084381		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4086064		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4087390		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4088232		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4089131		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4089960		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4091331		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4092386		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4093220		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4094341		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4095211		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4096053		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4097120		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4098089		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4099152		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4812526		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4814197		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4815954		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4817087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4818585		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4820305		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4821923		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4823512		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4825035		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4826796		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4828307		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4829953		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4831772		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4833295		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4834954		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4836978		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4838447		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4840176		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4841613		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4843066		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4844737		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4846433		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4848140		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4849906		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4851700		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4853354		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4854812		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4856134		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4857452		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4858802		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4860362		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4861730		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4863322		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4864644		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4866065		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4867625		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4869181		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4870507		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4872108		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4873566		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4874879		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4876439		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4877778		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4879342		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4880680		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4882314		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4883632		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4884942		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4886301		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4887426		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4888858		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4889721		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4890628		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4891609		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4892467		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4893604		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4894479		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4895390		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4896236		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4897615		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4898695		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4899574		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4900448		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.4901626		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5611642		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5613538		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5615205		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5616860		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5618477		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5619963		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5621347		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5622784		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5624512		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5626245		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5628232		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5629964		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5631717		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5633483		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5635211		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5636939		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5638717		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5640466		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5642182		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5643664		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5645364		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5646788		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5648205		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5649687		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5651066		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5652631		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5653944		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5655492		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5657093		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5658579		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5660361		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5662213		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5663941		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5665669		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5667443		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5669184		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5670961		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5672702		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5674422		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5676192		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
00:00:14.5677933		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		
