TimeStamp		 Channel 00	 Channel 01
00:00:00.2465537	 ,4.8669  V	,4.2895  V	
00:00:00.2466769	 ,2.0452  V	,1.9417  V	
00:00:00.2467968	 ,4.6877  V	,4.2284  V	
00:00:00.2468682	 ,2.0266  V	,1.9222  V	
00:00:00.2469659	 ,4.7216  V	,4.1955  V	
00:00:00.2470903	 ,2.0323  V	,1.9210  V	
00:00:00.2471819	 ,4.8382  V	,4.2403  V	
00:00:00.2473026	 ,2.0177  V	,1.9088  V	
00:00:00.2474265	 ,4.7277  V	,4.2293  V	
00:00:00.2475226	 ,2.0067  V	,1.9057  V	
00:00:00.2476462	 ,4.7350  V	,4.2074  V	
00:00:00.2477418	 ,2.0269  V	,1.9127  V	
00:00:00.2478687	 ,4.8876  V	,4.2754  V	
00:00:00.2479660	 ,2.0522  V	,1.9365  V	
00:00:00.3206920	 ,4.8119  V	,4.2809  V	
00:00:00.3208804	 ,2.0330  V	,1.9286  V	
00:00:00.3210471	 ,4.6706  V	,4.2123  V	
00:00:00.3212290	 ,2.0433  V	,1.9310  V	
00:00:00.3214162	 ,4.7704  V	,4.2074  V	
00:00:00.3215845	 ,2.0357  V	,1.9283  V	
00:00:00.3217910	 ,4.8177  V	,4.2477  V	
00:00:00.3219298	 ,2.0482  V	,1.9387  V	
00:00:00.3220862	 ,4.7027  V	,4.2171  V	
00:00:00.3222143	 ,2.0372  V	,1.9286  V	
00:00:00.3223383	 ,4.7872  V	,4.2245  V	
00:00:00.3224639	 ,2.0372  V	,1.9298  V	
00:00:00.3225895	 ,4.9017  V	,4.2895  V	
00:00:00.3227070	 ,2.0330  V	,1.9289  V	
00:00:00.3228190	 ,4.7509  V	,4.2550  V	
00:00:00.3229364	 ,2.0320  V	,1.9188  V	
00:00:00.3230535	 ,4.6844  V	,4.2013  V	
00:00:00.3231992	 ,2.0394  V	,1.9268  V	
00:00:00.3233449	 ,4.8159  V	,4.2333  V	
00:00:00.3235005	 ,2.0330  V	,1.9222  V	
00:00:00.3236541	 ,4.7747  V	,4.2449  V	
00:00:00.3238089	 ,2.0345  V	,1.9194  V	
00:00:00.3239587	 ,4.6969  V	,4.2049  V	
00:00:00.3241098	 ,2.0162  V	,1.9127  V	
00:00:00.3242687	 ,4.8418  V	,4.2467  V	
00:00:00.3244165	 ,2.0232  V	,1.9167  V	
00:00:00.3245696	 ,4.8739  V	,4.2919  V	
00:00:00.3247075	 ,2.0253  V	,1.9182  V	
00:00:00.3248611	 ,4.6947  V	,4.2300  V	
00:00:00.3250097	 ,2.0317  V	,1.9152  V	
00:00:00.3251723	 ,4.7289  V	,4.2037  V	
00:00:00.3253443	 ,2.0110  V	,1.9081  V	
00:00:00.3254798	 ,4.8318  V	,4.2419  V	
00:00:00.3256456	 ,2.0229  V	,1.9084  V	
00:00:00.3258103	 ,4.7308  V	,4.2312  V	
00:00:00.3259737	 ,2.0153  V	,1.9069  V	
00:00:00.3261083	 ,4.7262  V	,4.2077  V	
00:00:00.3262713	 ,2.0134  V	,1.9091  V	
00:00:00.3264351	 ,4.8803  V	,4.2712  V	
00:00:00.3265993	 ,2.0150  V	,1.9112  V	
00:00:00.3267656	 ,4.8171  V	,4.2773  V	
00:00:00.3269142	 ,2.0327  V	,1.9222  V	
00:00:00.3270514	 ,4.6755  V	,4.2098  V	
00:00:00.3272193	 ,2.0336  V	,1.9200  V	
00:00:00.3273548	 ,4.7762  V	,4.2126  V	
00:00:00.3275182	 ,2.0275  V	,1.9194  V	
00:00:00.3276577	 ,4.8278  V	,4.2531  V	
00:00:00.3278215	 ,2.0369  V	,1.9286  V	
00:00:00.3279636	 ,4.7039  V	,4.2150  V	
00:00:00.3280675	 ,2.0189  V	,1.9152  V	
00:00:00.3281787	 ,4.7811  V	,4.2177  V	
00:00:00.3283068	 ,2.0150  V	,1.9078  V	
00:00:00.3283980	 ,4.8949  V	,4.2846  V	
00:00:00.3284924	 ,2.0446  V	,1.9286  V	
00:00:00.3285872	 ,4.7469  V	,4.2559  V	
00:00:00.3286759	 ,2.0385  V	,1.9307  V	
00:00:00.3287933	 ,4.6841  V	,4.2019  V	
00:00:00.3288955	 ,2.0571  V	,1.9390  V	
00:00:00.3290134	 ,4.8220  V	,4.2321  V	
00:00:00.3291103	 ,2.0174  V	,1.9225  V	
00:00:00.3292355	 ,4.7826  V	,4.2428  V	
00:00:00.3293414	 ,2.0296  V	,1.9222  V	
00:00:00.3294305	 ,4.7060  V	,4.2052  V	
00:00:00.3295463	 ,2.0360  V	,1.9225  V	
00:00:00.4006543	 ,4.8363  V	,4.2464  V	
00:00:00.4008275	 ,2.0262  V	,1.9261  V	
00:00:00.4009872	 ,4.8675  V	,4.2904  V	
00:00:00.4011835	 ,2.0464  V	,1.9335  V	
00:00:00.4014770	 ,4.6902  V	,4.2248  V	
00:00:00.4016605	 ,2.0177  V	,1.9133  V	
00:00:00.4018646	 ,4.7225  V	,4.1946  V	
00:00:00.4019984	 ,2.0217  V	,1.9182  V	
00:00:00.4021269	 ,4.8305  V	,4.2370  V	
00:00:00.4022550	 ,2.0323  V	,1.9219  V	
00:00:00.4023823	 ,4.7372  V	,4.2309  V	
00:00:00.4025182	 ,2.0339  V	,1.9219  V	
00:00:00.4026479	 ,4.7332  V	,4.2116  V	
00:00:00.4027727	 ,2.0073  V	,1.9100  V	
00:00:00.4028881	 ,4.8882  V	,4.2721  V	
00:00:00.4030379	 ,2.0186  V	,1.9167  V	
00:00:00.4031960	 ,4.8144  V	,4.2846  V	
00:00:00.4033134	 ,2.0262  V	,1.9213  V	
00:00:00.4034308	 ,4.6636  V	,4.2104  V	
00:00:00.4035761	 ,2.0348  V	,1.9197  V	
00:00:00.4036845	 ,4.7704  V	,4.2104  V	
00:00:00.4038225	 ,2.0281  V	,1.9200  V	
00:00:00.4039596	 ,4.8165  V	,4.2443  V	
00:00:00.4041374	 ,2.0305  V	,1.9222  V	
00:00:00.4042835	 ,4.7042  V	,4.2126  V	
00:00:00.4044219	 ,2.0168  V	,1.9142  V	
00:00:00.4045680	 ,4.7814  V	,4.2156  V	
00:00:00.4047064	 ,2.0293  V	,1.9179  V	
00:00:00.4048694	 ,4.9026  V	,4.2873  V	
00:00:00.4050135	 ,2.0543  V	,1.9402  V	
00:00:00.4051580	 ,4.7582  V	,4.2626  V	
00:00:00.4053292	 ,2.0531  V	,1.9408  V	
00:00:00.4054733	 ,4.6847  V	,4.2034  V	
00:00:00.4056112	 ,2.0446  V	,1.9374  V	
